month,france,uk,usa
January,58360.0,28540.0,20247.0
February,51479.0,41457.0,20620.0
March,49197.0,45126.0,38873.0
April,51071.0,54399.0,39767.0
May,62989.0,59968.0,61000.0
June,48971.0,64146.0,75075.0
July,69924.0,73274.0,68790.0
August,87803.0,69929.0,49959.0
September,55324.0,64655.0,69851.0
October,60729.0,57849.0,52003.0
November,55384.0,37875.0,36804.0
December,45317.0,29383.0,23612.0
